pokedex_number,Name,type_1,type_2,total_points,hp,attack,defense,sp_attack,sp_defense,speed,generation,status
1,Bulbasaur,Grass,Poison,318,45,49,49,65,65,45,1,Normal
2,Ivysaur,Grass,Poison,405,60,62,63,80,80,60,1,Normal
3,Venusaur,Grass,Poison,525,80,82,83,100,100,80,1,Normal
3,Mega Venusaur,Grass,Poison,625,80,100,123,122,120,80,1,Normal
4,Charmander,Fire,,309,39,52,43,60,50,65,1,Normal
5,Charmeleon,Fire,,405,58,64,58,80,65,80,1,Normal
6,Charizard,Fire,Flying,534,78,84,78,109,85,100,1,Normal
6,Mega Charizard X,Fire,Dragon,634,78,130,111,130,85,100,1,Normal
6,Mega Charizard Y,Fire,Flying,634,78,104,78,159,115,100,1,Normal
7,Squirtle,Water,,314,44,48,65,50,64,43,1,Normal
8,Wartortle,Water,,405,59,63,80,65,80,58,1,Normal
9,Blastoise,Water,,530,79,83,100,85,105,78,1,Normal
9,Mega Blastoise,Water,,630,79,103,120,135,115,78,1,Normal
10,Caterpie,Bug,,195,45,30,35,20,20,45,1,Normal
11,Metapod,Bug,,205,50,20,55,25,25,30,1,Normal
12,Butterfree,Bug,Flying,395,60,45,50,90,80,70,1,Normal
13,Weedle,Bug,Poison,195,40,35,30,20,20,50,1,Normal
14,Kakuna,Bug,Poison,205,45,25,50,25,25,35,1,Normal
15,Beedrill,Bug,Poison,395,65,90,40,45,80,75,1,Normal
15,Mega Beedrill,Bug,Poison,495,65,150,40,15,80,145,1,Normal
16,Pidgey,Normal,Flying,251,40,45,40,35,35,56,1,Normal
17,Pidgeotto,Normal,Flying,349,63,60,55,50,50,71,1,Normal
18,Pidgeot,Normal,Flying,479,83,80,75,70,70,101,1,Normal
18,Mega Pidgeot,Normal,Flying,579,83,80,80,135,80,121,1,Normal
19,Rattata,Normal,,253,30,56,35,25,35,72,1,Normal
19,Alolan Rattata,Dark,Normal,253,30,56,35,25,35,72,1,Normal
20,Raticate,Normal,,413,55,81,60,50,70,97,1,Normal
20,Alolan Raticate,Dark,Normal,413,75,71,70,40,80,77,1,Normal
21,Spearow,Normal,Flying,262,40,60,30,31,31,70,1,Normal
22,Fearow,Normal,Flying,442,65,90,65,61,61,100,1,Normal
23,Ekans,Poison,,288,35,60,44,40,54,55,1,Normal
24,Arbok,Poison,,448,60,95,69,65,79,80,1,Normal
25,Pikachu,Electric,,320,35,55,40,50,50,90,1,Normal
25,Partner Pikachu,Electric,,430,45,80,50,75,60,120,1,Normal
