Height(Inches),Weight(Pounds),Altura,Peso
65.78331,112.9925,167.0896074,51.252494060000004
71.51521,136.4873,181.6486334,61.9095473816
69.39874,153.0269,176.2727996,69.41177762480001
68.2166,142.3354,173.270164,64.5621987568
67.78781,144.2971,172.18103739999998,65.4520101832
68.69784,123.3024,174.4925136,55.9289822208
69.80204,141.4947,177.29718160000002,64.1808639624
70.01472,136.4623,177.83738879999999,61.8982075816
67.90265,112.3723,172.47273099999998,50.971176301599996
66.78236,120.6672,169.6271944,54.733676582399994
66.48769,127.4516,168.8787326,57.811026147199996
67.62333,114.143,171.7632582,51.774351656
68.30248,125.6107,173.4882992,56.976008634399996
67.11656,122.4618,170.47606240000002,55.5476927856
68.27967,116.0866,173.4303618,52.6559530672
71.0916,139.9975,180.572664,63.50174602
66.461,129.5023,168.81094,58.741207261599996
68.64927,142.9733,174.3691458,64.8515450936
71.23033,137.9025,180.9250382,62.55147078
67.13118,124.0449,170.5131972,56.265774280799995
67.83379,141.2807,172.29782659999998,64.0837952744
68.87881,143.5392,174.9521774,65.1082328064
63.48115,97.90191,161.242121,44.40752316072
68.42187,129.5027,173.79154979999998,58.7413886984
67.62804,141.8501,171.7752216,64.3420705592
67.20864,129.7244,170.7099456,58.8419500448
70.84235,142.4235,179.939569,64.602160212
67.49434,131.5502,171.43562359999999,59.67011831839999
66.53401,108.3324,168.99638539999998,49.1387099808
65.44098,113.8922,166.2200892,51.6605907824
69.5233,103.3016,176.58918200000002,46.856779347199996
65.8132,120.7536,167.165528,54.7728669312
67.8163,125.7886,172.253402,57.0567026512
70.59505,136.2225,179.311427,61.78943622
71.80484,140.1015,182.3842936,63.548919588
69.20613,128.7487,175.7835702,58.39938033040001
66.80368,141.7994,169.6813472,64.3190734448
67.65893,121.2319,171.8536822,54.9898199848
67.80701,131.3478,172.2298054,59.5783112976
64.04535,106.7115,162.675189,48.403482708
68.57463,124.3598,174.1795602,56.4086104016
65.18357,124.8591,165.56626780000002,56.6350888872
69.65814,139.6711,176.9316756,63.3536935912
67.96731,137.3696,172.6369674,62.3097516032
65.98088,106.4499,167.5914352,48.2848230408
68.67249,128.7639,174.4281246,58.4062749288
66.88088,145.6837,169.8774352,66.08096085039999
67.69868,116.819,171.95464719999998,52.988163848
69.82117,143.6215,177.3457718,65.145563428
69.08817,134.9325,175.48395180000003,61.20430254
69.91479,147.0219,177.58356659999998,66.6879576648
67.33182,126.3285,171.02282279999997,57.301596972
70.26939,125.4839,178.4842506,56.918493168800005
69.10344,115.7084,175.52273760000003,52.484404572799995
65.38356,123.4892,166.0742424,56.0137132064
70.18447,147.8926,178.2685538,67.0829002192
70.40617,155.8987,178.8316718,70.7144031304
66.54376,128.0742,169.0211504,58.093432526399994
66.36418,119.3701,168.56501720000003,54.1453223992
67.537,133.8148,171.54398,60.6973227616
66.50418,128.7325,168.9206172,58.39203213999999
68.99958,137.5453,175.2589332,62.3894477176
68.30355,129.7604,173.491017,58.858279356800004
67.01255,128.824,170.21187700000002,58.433535808
70.80592,135.3165,179.8470368,61.378481867999994
68.21951,109.6113,173.2775554,49.7188087896
69.05914,142.4684,175.4102156,64.6225264928
67.73103,132.749,172.0368162,60.213884408
67.21568,103.5275,170.7278272,46.95924578
67.36763,124.7299,171.1137802,56.5764848008
65.27033,129.3137,165.7866382,58.6556598104
70.84278,134.0175,179.94066120000002,60.78926586000001
69.92442,140.3969,177.6080268,63.68291066479999
64.28508,102.8351,163.28410319999998,46.6451786792
68.2452,128.5214,173.342808,58.2962788688
66.35708,120.2991,168.5469832,54.5667093672
68.36275,138.6036,173.641385,62.8694841312
65.4769,132.9574,166.311326,60.3084129808
69.71947,115.6233,177.0874538,52.4458038936
67.72554,122.524,172.0228716,55.575906208
68.63941,134.6254,174.3441014,61.0650044368
66.78405,121.8986,169.631487,55.2922297712
70.05147,155.3767,177.93073379999998,70.4776281064
66.27848,128.9418,168.3473392,58.4869689456
69.20198,129.1013,175.77302920000002,58.5593168696
69.13481,139.4733,175.6024174,63.26397309359999
67.36436,140.8901,171.10547440000002,63.9066222392
70.09297,131.5916,178.0361438,59.6888970272
70.1766,121.1232,178.248564,54.940514534399995
68.22556,131.5127,173.2929224,59.6531086184
68.12932,136.5479,173.0484728,61.9370350568
70.24256,141.4896,178.4161024,64.1785506432
71.48752,140.6104,181.57830080000002,63.7797525568
69.20477,112.1413,175.7801158,50.8663965496
70.06306,133.457,177.96017239999998,60.535027543999995
70.55703,131.8001,179.21485619999999,59.783470959199995
66.28644,120.0285,168.3675576,54.443967371999996
63.42577,123.0972,161.1014558,55.8359051424
66.76711,128.1432,169.5884594,58.1247303744
68.88741,115.4759,174.9740214,52.3789444328
64.87434,102.0927,164.78082360000002,46.308431978399994
67.09272,130.353,170.4155088,59.127077976
68.34761,134.1842,173.60292940000002,60.8648796464
65.61073,98.64133,166.6512542,44.742918157359995
67.75551,114.5599,172.0989954,51.9634541608
68.0212,123.4917,172.773848,56.0148471864
67.66193,123.048,171.8613022,55.813588416
66.3146,126.4772,168.439084,57.3690461024
69.43706,128.417,176.37013240000002,58.248923864
63.83624,127.1941,162.1440496,57.6942262072
67.72277,122.0562,172.0158358,55.3637158704
70.05098,127.6064,177.92948919999998,57.881242188799995
70.18602,131.6423,178.2724908,59.711894141600006
65.94588,111.8955,167.5025352,50.754903636
70.007,122.039,177.81778000000003,55.355914088
68.61129,128.5547,174.27267659999998,58.3113834824
68.80817,132.6792,174.7727518,60.1822236864
69.76212,136.0632,177.19578479999998,61.717179014399996
65.45539,115.9403,166.25669059999998,52.5895925576
68.82534,136.9041,174.8163636,62.0986045272
65.8003,119.8804,167.13276199999999,54.3767903968
67.21474,109.0055,170.72543960000002,49.444022755999995
69.42021,128.2705,176.3273334,58.182472636
68.94396,135.2913,175.1176584,61.367051349600004
67.9415,106.8558,172.57141000000001,48.4689360336
65.62506,123.2939,166.68765240000002,55.9251266888
66.49607,109.5143,168.9000178,49.6748103656
67.92809,119.3087,172.5373486,54.1174718504
68.89415,140.2402,174.991141,63.611832798399995
70.241,133.9841,178.41214,60.774115887200004
68.26623,132.5807,173.39622419999998,60.1375448744
71.23161,130.6988,180.9282894,59.283930089600005
69.09747,115.5637,175.50757380000002,52.4187698104
64.39693,123.7941,163.5682022,56.1520134072
71.09585,128.1427,180.583459,58.124503578399995
68.21868,135.9646,173.27544720000003,61.67245484319999
65.91721,116.6273,167.4297134,52.9012102616
67.4369,126.8241,171.289726,57.5263971672
73.90107,151.3913,187.70871780000002,68.6698825496
69.98149,130.4022,177.7529846,59.149394702399995
69.51862,136.2068,176.5772948,61.7823148256
65.18437,113.3989,165.5682998,51.4368338488
68.00869,125.3287,172.7420726,56.8480956904
68.3384,127.5846,173.579536,57.871353883199994
65.18417,107.1564,165.56779179999998,48.6052857888
68.26209,116.4588,173.38570860000002,52.8247800096
68.56865,133.8402,174.16437100000002,60.708843998400006
64.49675,112.8901,163.82174500000002,51.2060462392
68.71053,130.7568,174.5247462,59.3102384256
68.89148,137.7571,174.9843592,62.485518503200005
69.54011,125.4036,176.6318794,56.8820697312
67.39964,138.4659,171.19508560000003,62.8070245128
66.47521,120.8184,168.84703340000002,54.8022596928
66.01217,140.1539,167.6709118,63.5726878088
72.44434,136.7397,184.0086236,62.0240340024
64.12642,106.1139,162.8811068,48.1324161288
70.98112,158.9562,180.2920448,72.1012606704
67.50124,108.7868,171.4531496,49.3448221856
72.01515,138.7758,182.918481,62.9475926736
65.31143,115.9136,165.8910322,52.5774816512
67.07509,146.2922,170.3707286,66.3569715824
64.39148,109.8765,163.5543592,49.839101387999996
69.37003,139.0499,176.1998762,63.071922240800006
68.37921,119.9001,173.6831934,54.3857261592
65.31018,128.3069,165.8878572,58.1989833848
67.1369,127.2428,170.527726,57.7163161376
68.39468,115.2306,173.7224872,52.267678315199994
66.2918,124.7975,168.381172,56.60714762
67.1866,126.9511,170.653964,57.584003351199996
65.99156,111.2711,167.61856240000003,50.4716807912
69.43393,122.6089,176.3621822,55.614416168800005
67.97463,124.2084,172.65556020000002,56.3399365728
67.76133,124.6453,172.1137782,56.5381109176
65.27864,119.5169,165.8077456,54.2119097048
73.83364,139.2983,187.5374456,63.1845944936
66.81312,104.8265,169.7053248,47.548461788
66.89411,123.0424,169.9110394,55.8110483008
65.73568,118.8923,166.96862720000001,53.9285961416
65.98283,121.4939,167.5963882,55.1086610888
66.58396,119.2488,169.12325840000003,54.090301689600004
67.11294,135.0239,170.4668676,61.245760848799996
65.87481,116.228,167.3220174,52.720090975999994
66.78067,109.1731,169.6229018,49.5200447752
68.73577,124.2237,174.5888558,56.346876530399996
66.22666,141.1645,168.2157164,64.031087884
65.95968,129.1501,167.53758720000002,58.581452159200005
68.58372,127.8693,174.2026488,58.0004915256
66.59347,120.9244,169.14741379999998,54.850340444800004
66.96574,127.6466,170.0929796,57.8994765872
68.08015,101.4693,172.923581,46.0256627256
70.19025,144.9927,178.28323500000002,65.7675287784
